time	DATEDIFF(DATE(time), '2007-12-31 00:00:00')	COUNT(*)
2009-05-07 14:27:57	493	24
2009-05-10 13:18:37	496	22
2009-05-14 21:32:22	500	6
2009-09-03 09:20:12	612	26
2009-09-04 14:09:20	613	21
2009-09-08 13:28:41	617	40
2009-09-09 16:36:21	618	49
2009-09-10 17:31:25	619	73
2009-09-11 14:00:11	620	26
2009-09-12 13:05:12	621	5
2009-09-14 14:09:31	623	60
2009-09-15 13:07:55	624	35
2009-09-16 16:20:33	625	52
2009-09-17 15:24:27	626	54
2009-09-18 13:25:39	627	38
2009-09-19 13:05:42	628	10
2009-09-20 19:02:03	629	1
2009-09-21 13:03:48	630	71
2009-09-22 13:00:33	631	50
2009-09-23 17:08:09	632	65
2009-09-24 16:13:42	633	68
2009-09-25 13:04:53	634	81
2009-09-28 13:07:07	637	109
2009-09-29 13:08:13	638	68
2009-09-30 17:19:40	639	62
2009-10-01 16:15:15	640	80
2009-10-02 13:04:51	641	78
2009-10-04 19:48:10	643	1
2009-10-05 16:02:22	644	70
2009-10-06 13:17:45	645	33
2009-10-07 17:07:36	646	90
2009-10-08 17:04:56	647	89
2009-10-09 13:09:37	648	74
2009-10-10 10:15:37	649	7
2009-10-11 12:09:19	650	17
2009-10-12 16:31:19	651	13
2009-10-13 13:27:16	652	48
2009-10-14 16:29:41	653	87
2009-10-15 16:12:02	654	68
2009-10-16 13:05:43	655	57
2009-10-18 12:00:53	657	12
2009-10-19 13:12:43	658	72
2009-10-20 13:56:17	659	57
2009-10-21 16:33:21	660	45
2009-10-22 16:01:15	661	25
2009-10-23 13:33:51	662	42
2009-10-25 11:33:03	664	11
2009-10-26 13:04:09	665	61
2009-10-27 10:20:28	666	51
2009-10-28 17:25:37	667	72
2009-10-29 19:06:21	668	68
2009-10-30 11:25:27	669	36
2009-11-02 13:13:40	672	59
2009-11-03 13:06:48	673	37
2009-11-04 13:10:59	674	57
2009-11-05 16:17:35	675	15
2009-11-06 14:15:41	676	22
2009-11-08 17:42:11	678	6
2009-11-09 13:12:49	679	27
2009-11-10 13:16:58	680	46
2009-11-11 13:08:38	681	30
2009-11-12 13:09:12	682	20
2009-11-13 13:21:16	683	45
2009-11-15 11:39:47	685	21
2009-11-16 14:06:19	686	17
2009-11-17 13:09:44	687	49
2009-11-18 13:07:19	688	26
2009-11-19 13:00:35	689	45
2009-11-20 14:39:47	690	47
2009-11-30 13:34:19	700	19
2009-12-01 18:28:27	701	28
2009-12-02 13:20:02	702	64
2009-12-03 13:41:54	703	28
2009-12-04 13:13:49	704	9
2009-12-05 14:18:08	705	10
2009-12-06 19:19:46	706	2
2009-12-07 12:01:05	707	6
2009-12-08 13:39:35	708	5
2009-12-09 13:18:11	709	68
2009-12-10 13:11:57	710	14
2009-12-14 22:59:18	714	9
2009-12-15 19:45:29	715	5
2009-12-17 22:15:16	717	1
2009-12-18 12:17:53	718	25
2009-12-21 14:14:40	721	2
2010-01-19 10:08:48	750	30
2010-01-20 14:17:34	751	36
2010-01-21 16:24:25	752	55
2010-01-22 10:25:14	753	15
2010-01-25 15:10:02	756	79
2010-01-26 10:04:40	757	21
2010-01-27 14:13:52	758	27
2010-01-28 16:35:48	759	43
2010-01-29 13:01:33	760	26
