username	placename
ddougherty	EH40,in,rm416E
ddougherty	EH40,in,rm416F
ddougherty	EH40,in,rm417
ddougherty	OC00,in,auditorium
ddougherty	OC00,in,Library
ddougherty	OC10,in,library
ddougherty	WH20,in,rm209
ddougherty	WH20,in,rm213
ddougherty	WH30,in,antelounge
ddougherty	WH40,in,rm414
ddougherty	WH40,in,rm415
ddougherty	WH40,out,eastwing
dgebhart	AC10,in,rm113
dgebhart	AC20,in,rm213
dgebhart	AC30,in,rm326
dgebhart	AC40,in,rm413
dgebhart	AC40,out,rm409
dgebhart	EH10,in,rm120
dgebhart	EH30,in,rm301
dgrieneisen	AC10,in,rm102
dgrieneisen	AC30,in,rm309
dgrieneisen	AC30,in,rm326
dgrieneisen	AC40,in,rm417
dgrieneisen	EH40,in,rm415
dgrieneisen	OC00,in,rm10 (IT Helpdesk)
dgrieneisen	OC10,in,library
dgrieneisen	WH20,in,Nook
dgrieneisen	WH20,in,rm202
dgrieneisen	WH20,in,rm209
dgrieneisen	WH20,in,rm212
dnelson	EH30,in,rm306G
dsotingco	AC20,in,rm206
dsotingco	AC20,in,rm213
dsotingco	WH40,in,antelounge
dsotingco	WH40,in,rm403
ebyun	AC10,in,rm126
ebyun	AC20,in,rm213
ebyun	AC20,in,rm218
ebyun	AC30,in,rm328
ebyun	WH20,in,north wing
ebyun	WH20,in,rm225
ebyun	WH30,in,antelounge
ebyun	WH30,in,Lounge
ebyun	WH30,in,rm320
echisa	AC20,in,rm209
echisa	AC20,in,rm213
echisa	AC30,in,rm304
echisa	CC10,in,cookies
echisa	CC10,in,dininghall
echisa	CC10,out,middle
echisa	CC20,in,Dining Hall Mezzanine
echisa	EH10,in,rm115
echisa	EH10,in,rm120
echisa	EH30,in,teamroom
echisa	EH40,in,rm405
echisa	OC20,in,rm273
echisa	WH10,in,Kitchen
echisa	WH40,in,lounge
echisa	WH40,in,rm423
ekoukina	AC10,in,rm126
ekoukina	AC20,in,rm204
ekoukina	OC00,in,Computer Lab
ekoukina	OC00,in,Library
ekoukina	OC10,in,library
ekoukina	WH10,in,lounge
ekoukina	WH20,in,antelounge
ekoukina	WH20,in,lounge
ekoukina	WH20,in,rm202
ekoukina	WH20,in,rm207
ekoukina	WH30,in,lounge
emorikawa	AC20,in,rm209
emorikawa	AC20,in,rm213
emorikawa	AC30,in,rm309
emorikawa	AC30,out,rm309
emorikawa	EH10,in,rm115
emorikawa	OC00,in,Computer Lab
emorikawa	WH40,in,rm423
eoleynikova	AC30,in,rm306
eoleynikova	AC30,in,rm318
eoleynikova	AC30,in,rm328
eoleynikova	CC10,in,cookies
eoleynikova	CC10,in,dininghall
eoleynikova	CC30,in,rm310
eoleynikova	EH40,in,Lounge
eoleynikova	EH40,in,rm420
eoleynikova	OC00,in,rm10 (IT Helpdesk)
eoleynikova	WH30,in,antelounge
eoleynikova	WH30,in,lounge
eoleynikova	WH30,in,rm301
eoleynikova	WH30,in,rm302
eoleynikova	WH30,in,rm309
eoleynikova	WH30,out,rm309
eoleynikova	WH40,in,lounge
eoleynikova	WH40,in,rm418
eoleynikova	WH40,in,rm431
eschumacher	AC20,in,rm213
eschumacher	AC30,in,rm328
eschumacher	CC10,in,pizza
eschumacher	EH20,in,221teamrm
eschumacher	EH40,in,Lounge
eschumacher	EH40,in,rm406A
eschumacher	EH40,in,rm406D
eschumacher	EH40,in,rm406F
esheldon	AC10,in,rm126
esheldon	AC10,out,Outside Machine Shop
esheldon	AC20,in,rm213
esheldon	AC30,in,rm326
esheldon	AC30,in,rm328
esheldon	CC10,in,cookies
esheldon	OC00,in,auditorium_stage
esheldon	WH20,in,rm225
esheldon	WH30,in,lounge
esheldon	WH40,in,rm402
esheldon	WH40,in,rm431
eswartz	AC20,in,rm204
ESwartz	AC20,in,rm213
eswartz	OC10,in,library
eswartz	WH20,in,antelounge
eswartz	WH20,in,rm201
eswartz	WH20,in,rm202
eswartz	WH20,in,rm204
etowers	CC10,in,cookies
etowers	CC10,in,dininghall
etowers	WH20,in,rm227
etowns	WH40,in,rm401
fbalestra	AC20,in,rm206
fbalestra	AC20,in,rm213
gboggs	AC20,in,rm213
gboggs	EH20,in,rm206 Lounge
gdavidoff	AC10,in,rm128
gdavidoff	CC10,in,tables
gdavidoff	WH30,in,lounge
gdavidoff	WH30,in,rm325
gdavidoff	WH40,in,lounge
gmarra	AC20,in,rm204
gmarra	AC20,in,rm209
gmarra	AC20,in,rm213
gmarra	AC30,in,rm302
gmarra	AC40,in,rm409
gmarra	AC40,in,rm413
gmarra	CC10,in,tables
gmarra	EH10,in,rm115
gmarra	EH40,in,rm420
gmarra	OC30,in,rm335
gmarra	WH10,in,lounge
gmarra	WH30,in,rm309
gmarra	WH30,in,rm312
gmarra	WH30,out,rm309
gmarra	WH40,in,rm423
gou	AC20,in,rm206
gou	WH30,in,lounge
greg	AC10,in,rm109
greg	AC30,in,rm318
greg	EH10,in,rm101teamrm
greg	EH10,in,rm117
greg	EH20,in,rm201team
gthomas	AC20,in,rm206
gthomas	AC20,in,rm209
gthomas	AC20,in,rm213
gthomas	CC05,in,wooden_waterfall
gthomas	OC00,in,Library
gthomas	OC10,in,library
gthomas	WH20,in,lounge
gthomas	WH20,in,rm206
gthomas	WH20,in,rm223
hjaffe	AC20,in,rm218
hjaffe	CC05,in,wooden_waterfall
hjaffe	EH40,in,rm406F
hjaffe	WH20,in,antelounge
hjaffe	WH20,in,lounge
hjaffe	WH20,in,Nook
hjaffe	WH30,in,lounge
hjaffe	WH40,in,lounge
ishafer	AC20,in,rm204
ishafer	AC20,in,rm213
Ishafer	AC30,in,rm304
ishafer	AC40,in,rm417
ishafer	WH10,in,lounge
ishafer	WH40,in,antelounge
ishafer	WH40,in,lounge
ishafer	WH40,in,rm413
itcltadm	OC00,in,rm10 (IT Helpdesk)
jadudm	AC10,out,The O
jadudm	AC30,in,rm304
jadudm	OC00,in,Library
james	WH40,in,rm420
jatkinson	WH20,in,lounge
jatkinson	WH20,in,rm206
jbauer	WH20,in,antelounge
jbauer	WH20,in,rm14
jbauer	WH20,in,rm214
jbauer	WH20,in,rm230
jcross	AC10,out,Machine Shop
jcross	AC10,out,Outside Machine Shop
jcross	AC20,in,rm206
jcross	AC20,in,rm209
jcross	AC30,out,rm325
jcross	AC40,in,rm409
jcross	AC40,in,rm413
jcross	CC10,in,tables
jcross	CC30,in,rm310
jcross	EH10,out,GreatLawn 
jcross	EH30,in,rm329 suite lounge
jcross	EH30,in,rm329B
jcross	EH30,in,teamroom
jcross	OC00,in,Computer Lab
jcross	OC10,in,library
jcross	WH30,in,rm307
jcross	WH40,in,lounge
jcross	WH40,in,rm423
jcross	WH40,in,rm425
jcross	WH40,in,rm427
jcurtis	AC20,in,rm206
jcurtis	AC40,out,rm407
jcurtis	CC10,in,tables
jcurtis	CC20,in,Dining Hall Mezzanine
jcurtis	OC00,out,north_it
jcurtis	WH20,in,lounge
jcurtis	WH30,in,antelounge
jcurtis	WH30,in,rm303
jcurtis	WH30,in,rm306
jcurtis	WH30,out,westwing
jessimurray	WH30,in,rm309
jgorasia	AC20,in,rm218
jgorasia	AC30,in,rm328
jgorasia	OC20,in,Mezzanine
jgorasia	WH20,in,north wing
jharley	AC10,in,rm113
jharley	AC10,in,rm126
jharley	AC20,in,rm213
jharley	AC20,in,rm218
jharley	AC30,in,rm306
jharley	AC30,in,rm318
jharley	AC30,in,rm326
jharley	AC30,in,rm328
jharley	AC40,in,rm406
jharley	AC40,in,rm409
jharley	AC40,in,rm428
jharley	CC20,in,Dining Hall Mezzanine
jharley	EH30,in,lounge
jharley	EH40,in,rm413
jharley	EH40,in,rm415
jharley	OC00,in,auditorium
jharley	OC00,in,Library Workroom
jharley	OC10,in,library
jharley	WH10,in,lounge
jharley	WH20,in,lounge
jharley	WH20,in,Nook
jharley	WH30,in,antelounge
jharley	WH30,in,lounge
jharley	WH30,in,rm302
jharley	WH30,in,rm312
jharley	WH40,in,antelounge
jharley	WH40,in,lounge
jharley	WH40,in,rm406
jherman	AC10,in,rm126
jherman	AC20,in,rm213
jherman	AC30,in,rm306
jherman	AC30,in,rm326
jherman	AC30,in,rm328
jherman	AC40,in,rm413
jherman	AC40,in,rm417
jherman	OC00,in,auditorium
jherman	OC00,in,auditorium_stage
jherman	OC00,in,Computer Lab
jherman	OC10,in,library
jherman	WH30,in,antelounge
jherman	WH30,in,rm312
jherman	WH40,in,lounge
jherman	WH40,in,rm411
jherman	WH40,in,rm414
jherman	WH40,in,rm415
jherman	WH40,out,eastwing
jhiggins	AC30,in,rm328
jhiggins	OC00,in,auditorium_stage
jhiggins	WH30,in,lounge
jhiggins	WH30,in,rm314
jholler	AC30,in,rm309
jholler	EH30,in,rm303
jholler	EH30,in,rm306C
jhwang	CC20,in,Dining Hall Mezzanine
jhwang	WH20,in,rm230
jinman	AC20,in,rm209
jinman	AC20,in,rm213
jinman	AC40,in,rm417
jinman	AC40,out,rm406
jinman	WH30,in,lounge
jinman	WH40,in,antelounge
jinman	WH40,in,rm410
jinman	WH40,in,rm410 (The Zebra Lounge)
jinman	WH40,out,Antelounge
jizraelevitz	AC20,in,rm218
jizraelevitz	WH20,in,Nook
jizraelevitz	WH20,in,rm206
jizraelevitz	WH30,in,lounge
jkeene	AC10,in,rm109
jkeene	AC20,in,rm218
jlin	AC10,in,rm113
jlin	CC10,in,tables
jlin	EH20,in,rm219
jlin	OC00,in,Library
jlin	OC10,in,library
jmccandless	WH20,in,lounge
jmccandless	WH20,in,rm209
jmeyer	AC10,in,rm126
jmeyer	CC10,out,middle
jmeyer	OC10,in,library
jmeyer	WH10,out,Sukkah
jmeyer	WH30,in,lounge
jmeyer	WH30,in,northwing nook
jmeyer	WH30,in,rm312
jmiller	AC10,in,rm126
jmiller	AC20,in,rm228
jmiller	AC30,in,rm328
jmiller	EH30,in,rm306B
jmiller	EH30,in,rm306E
jmiller	EH30,in,WestTeamrm
jmiller	OC10,in,library
jmiller	WH20,in,rm202
jmiller	WH30,in,antelounge
jmiller	WH30,in,lounge
jmiller	WH30,in,northwing nook
jmiller	WH30,in,rm312
jmiller	WH30,in,rm329
jmiller	WH30,out,northwing
jmiller	WH40,in,antelounge
jmiller	WH40,in,lounge
jmiller	WH40,in,northwing stairwell
jmoore1	AC20,in,rm209
jmoore1	AC20,in,rm213
jmoore1	AC30,in,rm328
jmoore1	CC10,in,computer bar
jmoore1	CC20,in,Board Room
jmoore1	CC20,in,rm210
jmoore1	EH10,in,rm115
jmoore1	EH10,in,rm117
jmoore1	OC00,in,Library
jmoore1	OC10,in,library
jmoore1	WH10,in,North Nook
jmoore1	WH10,out,rm124
jmoore1	WH20,in,rm212
jmoore1	WH30,in,antelounge
jmurray	EH20,in,rm206 Lounge
jmurray	EH20,in,rm206C
jmurray	EH20,in,rm207
jmurray	EH40,in,rm429 Suite
jregulinski	AC10,in,rm126
jregulinski	AC10,out,The O
jregulinski	AC20,in,rm209
jregulinski	OC00,in,Library
jregulinski	OC10,in,library
jregulinski	WH30,in,rm306
jrosenwinkel	WH30,in,antelounge
jrosenwinkel	WH30,in,lounge
jrucker	AC20,in,rm209
jrucker	AC30,out,AC302
jrucker	WH20,in,antelounge
jrucker	WH20,in,rm205
jrucker	WH20,in,rm207
jrucker	WH40,in,lounge
jsanten	WH20,in,rm213
jsanten	WH20,in,rm215
jsanten	WH30,in,lounge
jsantos	AC20,in,rm213
jsantos	AC20,out,rm213
jsantos	AC30,in,rm309
