placename	time
AC10,in,rm128	2008-09-18 09:41:44
EH30,in,rm306F	2008-09-21 21:13:10
EH30,in,rm3WestTeam	2008-09-22 01:00:31
EH20,in,rm228A	2008-09-24 01:12:17
EH40,in,rm416F	2008-09-24 22:31:48
WH30,in,West Wing Windowseat	2008-09-26 12:41:15
WH30,in,rm328	2008-09-27 21:32:06
EH40,in,rm416C	2008-09-28 23:29:28
EH20,in,rm228 lounge	2008-10-05 20:50:29
EH20,in,lounge	2008-10-06 01:48:47
AC20,in,rm208	2008-10-07 21:28:18
EH10,in,rm129 Lounge	2008-10-09 22:23:27
WH30,in,rm311	2008-10-10 23:02:33
WH10,out,Sukkah	2008-10-16 11:12:02
WH10,in,rm118	2008-10-22 13:05:07
WH10,in,Lawn	2008-10-23 15:14:00
AC10,in,rm106	2008-10-24 16:55:18
EH10,in,rm126B	2008-10-29 19:33:02
WH10,in,Antelounge	2008-11-14 17:53:28
WH40,in,rm424	2009-01-20 18:13:57
EH40,in,rm429 Suite	2009-01-26 17:18:01
EH40,in,rm406B	2009-02-20 13:11:42
EH20,in,rm217	2009-02-21 13:23:54
AC20,in,Gill\\\\\\'s Lab	2009-03-22 13:43:09
WH50,in,rm318	2009-04-01 19:13:58
WH50,in,rm510	2009-04-01 19:16:39
WH50,in,rm512	2009-04-01 19:25:56
